date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:50:16	152147/152147	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:15%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/product-gallery-right-sidebar.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/product-gallery-right-sidebar.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:16	139547/139547	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:15%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/product-full-width.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/product-full-width.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:16	135791/135791	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:16%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/product-360-full-width.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/product-360-full-width.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:17	131753/131753	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:16%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/product-video-full-width.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/product-video-full-width.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:17	129036/129036	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:16%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/product-gallery-full-width.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/product-gallery-full-width.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:17	94066/94066	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:17%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/about-us.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/about-us.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:17	84295/84295	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:17%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/contact-us.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/contact-us.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:18	122573/122573	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:17%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/cart.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/cart.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:18	108696/108696	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:17%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/compare.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/compare.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:18	84267/84267	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:18%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/faq.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/faq.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:18	89035/89035	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:18%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/track-order.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/track-order.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:19	83421/83421	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:18%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/terms-condition.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/terms-condition.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:19	83347/83347	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:18%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/privacy-policy.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/privacy-policy.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:19	21219/21219	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:19%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-confirm-1.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-confirm-1.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:19	40837/40837	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:19%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-confirm-2.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-confirm-2.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:20	24812/24812	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:19%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-confirm-3.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-confirm-3.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:20	23942/23942	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:19%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-confirm-4.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-confirm-4.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:20	30117/30117	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:20%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-confirm-5.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-confirm-5.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:20	20013/20013	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:20%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-forgot-password-1.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-forgot-password-1.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:21	17964/17964	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:20%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-forgot-password-2.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-forgot-password-2.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:21	56296/56296	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:20%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-forgot-password-3.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-forgot-password-3.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:21	23864/23864	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:21%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-forgot-password-4.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-forgot-password-4.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:22	18759/18759	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:21%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-forgot-password-5.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-forgot-password-5.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:22	17525/17525	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:21%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-offers-1.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-offers-1.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:22	29995/29995	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:21%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-offers-2.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-offers-2.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:22	40662/40662	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:22%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-offers-3.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-offers-3.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:22	33217/33217	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:22%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-offers-4.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-offers-4.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:23	33218/33218	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:22%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-offers-5.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-offers-5.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:23	29132/29132	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:22%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-offers-6.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-offers-6.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:23	48335/48335	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:23%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-offers-7.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-offers-7.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:23	40689/40689	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:23%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-offers-8.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/email-template-offers-8.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:24	98253/98253	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:23%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/vendor-dashboard.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/vendor-dashboard.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:24	92919/92919	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:23%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/vendor-profile.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/vendor-profile.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
18:50:25	104381/104381	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2011:50:24%20GMT	https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/vendor-uploads.html	C:/My%20Web%20Sites/MUON/maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/vendor-uploads.html	(from https://maraviyainfotech.com/projects/ekka/ekka-v37/ekka-html/index.html)
